document_modified,list,list_deprecated,list_localName,label,description,list_created,list_modified,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,database,versions_database,versions_uri,standard
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqdim/,false,bdqdim,Data Quality Dimension vocabulary terms,Draft term list for the BDQ Core vocabulary.,2024-09-12,2024-09-12,bdqdim,https://rs.tdwg.org/bdq/bdqdim/,bdqdim,bdqdim_type-versions,https://rs.tdwg.org/bdq/version/bdqdim/type/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdq/,false,bdq,Data Quality vocabulary terms,Draft term list for the BDQ Core vocabulary.,2024-09-12,2024-09-12,bdq,https://rs.tdwg.org/bdq/bdq/,bdq,bdq_type-versions,https://rs.tdwg.org/bdq/version/bdq/type/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqcrit/,false,bdqcrit,Data Quality Criterion vocabulary terms,Draft term list for the BDQ Core vocabulary.,2024-09-12,2024-09-12,bdqcrit,https://rs.tdwg.org/bdq/bdqcrit/,bdqcrit,bdqcrit_type-versions,https://rs.tdwg.org/bdq/version/bdqcrit/type/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqenh/,false,bdqenh,Data Quality Enhancement vocabulary terms,Draft term list for the BDQ Core vocabulary.,2024-09-12,2024-09-12,bdqenh,https://rs.tdwg.org/bdq/bdqenh/,bdqenh,bdqenh_type-versions,https://rs.tdwg.org/bdq/version/bdqenh/type/,https://example.com/standards/bdq
2024-09-12T12:00:00-05:00,https://rs.tdwg.org/bdq/bdqcore/,false,bdqcore,Data Quality Testterms,Draft term list for the BDQ Core Tests vocabulary.,2024-09-12,2024-09-12,bdqcore,https://rs.tdwg.org/bdqcore/,bdqcore,bdqcore_type-versions,https://rs.tdwg.org/bdq/version/bdqcore/type/,https://example.com/standards/bdq
